Day,Total
1,177.408
1,888.615
10,477.1305
11,235.683
11,72.3975
11,305.55
11,270.2595
13,152.019
13,88.368
14,536.991
14,523.3725
14,133.434
14,89.0715
15,91.56
15,175.917
16,881.307
16,497.07
17,852.705
17,121.569
17,137.865
18,166.236
19,362.712
19,323.064
19,284.592
19,250.278
2,262.458
21,172.2105
21,76.356
21,72.429
22,151.515
23,161.7
23,323.148
23,620.739
23,450.1035
25,463.89
25,356.5485
26,304.542
26,420.2625
26,165.648
26,69.993
27,568.512
27,514.773
28,84.7455
29,529.515
30,509.4075
30,1034.46
5,74.76
6,939.54
7,214.935
7,374.388
7,85.743
8,575.736
8,783.3
8,688.716
8,76.5765
8,348.705
1,74.7075
1,551.124
10,234.0975
11,936.6
11,810.6
12,914.55
13,31.227
14,208.677
14,290.43
15,731.43
15,164.43
15,211.365
16,182.427
17,374.7975
17,103.635
17,680.064
19,173.208
19,932.337
2,115.08
2,439.8975
2,554.148
2,40.341
20,172.746
20,484.5225
20,418.95
20,253.26
20,181.881
22,31.9305
23,337.512
23,37.6845
23,311.1885
23,308.574
24,222.012
25,51.0405
25,313.74
26,263.97
26,216.6885
26,167.58
27,793.548
27,197.925
27,781.62
28,507.906
3,671.79
3,212.73
3,708.225
3,143.22
3,247.59
4,98.028
4,71.1585
5,404.649
5,92.295
5,297.801
6,417.564
6,189.0945
6,55.041
7,453.495
7,103.824
7,570.78
9,66.402
9,22.659
9,331.128
9,33.432
1,314.538
1,56.406
10,180.621
10,133.917
10,74.4555
11,294.651
12,395.892
12,404.544
13,336.5565
13,284.9175
14,49.308
14,814.38
14,446.964
16,829.71
16,333.9525
17,23.751
19,175.014
2,279.384
20,90.825
20,65.7405
20,96.1905
20,251.7165
21,360.927
22,296.94
23,166.1625
23,465.444
24,321.111
25,248.409
25,232.638
26,154.1295
27,362.943
27,164.871
27,101.808
27,167.034
27,91.8225
28,367.038
28,121.59
28,269.535
28,209.118
28,225.792
3,186.228
3,767.025
30,609.168
30,196.14
4,829.08
4,313.572
5,152.838
5,822.255
5,56.952
6,456.288
7,209.559
8,90.867
8,71.568
8,92.5575
9,523.845
9,935.2665